     1 -0.1994778782
     2  0.2011103521
     3  0.0333496417
     4  0.0333496417
     5  0.1159544697
     6 -0.0396428103
     7 -0.2720420677
     8 -0.0373094459
     9  0.1139377308
    10 -0.0912985933
    11  0.1073124565
    12 -0.0251095459
    13 -0.3203850200
    14  0.0994621247
    15  0.1449034999
    16  1.0939978362
    17 -0.6631829285
    18 -0.6639073744
    19 -0.6643717307
    20  0.0333496417
    21  0.1110863601
    22  0.0171652036
    23 -0.0499259504
    24 -0.0499259504
    25  0.0807463320
    26 -0.0177495335
    27 -0.2129137228
    28 -0.0814301565
    29  0.1252257099
    30 -0.0426053953
    31  0.1058690056
    32 -0.0988451545
    33 -0.2124223925
    34  0.1139860932
    35  0.1084222882
    36  1.0839105245
    37 -0.6523672242
    38 -0.6640525529
    39 -0.6641734842
    40  0.1236631510
    41 -0.0948133098
    42 -0.0331428879
    43 -0.0331428879
    44  0.1077735908
    45  0.0204640641
    46 -0.2225549254
    47 -0.1038304374
    48  0.1180566545
    49 -0.0320630494
    50  0.1141720753
    51 -0.1026195292
    52 -0.2252901712
    53  0.1176445980
    54  0.1232758532
    55  1.0984116974
    56 -0.6575373372
    57 -0.6713283237
    58 -0.6676028894
    59  0.0204640641
